Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
Stargardt disease 1	stargardt disease 1 (disorder),,stargardt disease 1 (stgd1) gene anomaly detection reagents
stargardt disease 1 (disorder)	Stargardt disease 1,,Stargardt disease
stargardt disease 1 (stgd1) gene anomaly detection reagents	Stargardt disease 1,,Stargardt disease
Cone/cone-rod dystrophy	cone-rod dystrophies,,progressive cone-rod dystrophy,,adam9 gene,,gucy2d gene,,cone-rod dystrophy 9,,pitpnm3 gene,,c8orf37 gene,,hypotrichosis, congenital, with juvenile macular dystrophy,,cone-rod dystrophy 5,,cone-rod dystrophy 1 (disorder),,cone-rod dystrophy 11,,newfoundland rod-cone dystrophy,,cone-rod dystrophy 10,,cone-rod dystrophy 8 (disorder),,cone-rod dystrophy 3 (disorder),,cone-rod dystrophy 7,,cone dystrophy 3 (disorder),,retinal cone dystrophy 2,,cone-rod dystrophy 12 (disorder),,cone-rod dystrophy 13,,cone-rod dystrophy 15,,cone-rod dystrophy 16,,cone-rod dystrophy 2,,cone-rod dystrophy 17,,cone-rod dystrophy 18
cone-rod dystrophies	Cone/cone-rod dystrophy,,Cone dystrophy
adam9 gene	Cone/cone-rod dystrophy,,Cone dystrophy
gucy2d gene	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 9	Cone/cone-rod dystrophy,,Cone dystrophy
pitpnm3 gene	Cone/cone-rod dystrophy,,Cone dystrophy
c8orf37 gene	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 5	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 1 (disorder)	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 11	Cone/cone-rod dystrophy,,Cone dystrophy
newfoundland rod-cone dystrophy	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 10	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 8 (disorder)	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 3 (disorder)	Cone/cone-rod dystrophy,,Cone dystrophy,,Cone-rod dystrophy 3
cone-rod dystrophy 7	Cone/cone-rod dystrophy,,Cone dystrophy
cone-rod dystrophy 12 (disorder)	Cone/cone-rod dystrophy
cone-rod dystrophy 13	Cone/cone-rod dystrophy
cone-rod dystrophy 15	Cone/cone-rod dystrophy
cone-rod dystrophy 16	Cone/cone-rod dystrophy
cone-rod dystrophy 17	Cone/cone-rod dystrophy
cone-rod dystrophy 18	Cone/cone-rod dystrophy
Cone dystrophy	cone dystrophy,,progressive cone dystrophy,,cone-rod dystrophies,,progressive cone-rod dystrophy,,adam9 gene,,guca1a gene,,gucy2d gene,,cone-rod dystrophy 9,,pitpnm3 gene,,c8orf37 gene,,hypotrichosis, congenital, with juvenile macular dystrophy,,cone-rod dystrophy 5,,cone-rod dystrophy 1 (disorder),,cone-rod dystrophy 11,,retinal cone dystrophy 3b,,peripheral cone dystrophy,,newfoundland rod-cone dystrophy,,cone-rod dystrophy 10,,cone-rod dystrophy 8 (disorder),,cone-rod dystrophy 3 (disorder),,cone-rod dystrophy 7,,retinal cone dystrophy 4,,retinal cone dystrophy 3a,,cone dystrophy 3 (disorder),,retinal cone dystrophy 2
cone dystrophy	Cone dystrophy
progressive cone dystrophy	Cone dystrophy
guca1a gene	Cone dystrophy
peripheral cone dystrophy	Cone dystrophy
MACULAR DEGENERATION, AGE-RELATED, 2, SUSCEPTIBILITY TO	macular degeneration, age-related, 2, susceptibility to,,macular degeneration, age-related, 2, susceptibility to, arg943gln (allelic variant)
macular degeneration, age-related, 2, susceptibility to	MACULAR DEGENERATION, AGE-RELATED, 2, SUSCEPTIBILITY TO,,Age-related macular degeneration 2
macular degeneration, age-related, 2, susceptibility to, arg943gln (allelic variant)	MACULAR DEGENERATION, AGE-RELATED, 2, SUSCEPTIBILITY TO,,Age-related macular degeneration 2
Macular dystrophy	macular degeneration,,hereditary macular dystrophy,,macular dystrophy,,macular corneal dystrophy,,macular edema, cystoid,,vitelliform macular dystrophy,,bull\'s eye macular dystrophy,,pattern dystrophy of macula,,congenital macular corneal dystrophy,,north carolina macular dystrophy,,macular dystrophy congenital,,prom1 gene,,macular dystrophy, corneal type 1,,best1 gene,,macular dystrophy, concentric annular,,macular dystrophy, atypical vitelliform,,macular dystrophy, butterfly-shaped pigmentary, 2,,macular dystrophy, x-linked,,adult-onset vitelliform macular dystrophy,,fundus dystrophy, pseudoinflammatory, of sorsby,,stromal macular dystrophy of cornea,,choroidal dystrophy, central areolar 2,,occult macular dystrophy,,macular pattern dystrophy,,macular dystrophy, retinal, 3
hereditary macular dystrophy	Macular dystrophy
macular dystrophy	Macular dystrophy
macular corneal dystrophy	Macular dystrophy
macular edema, cystoid	Macular dystrophy
pattern dystrophy of macula	Macular dystrophy
congenital macular corneal dystrophy	Macular dystrophy
macular dystrophy congenital	Macular dystrophy
macular dystrophy, corneal type 1	Macular dystrophy
best1 gene	Macular dystrophy
macular dystrophy, concentric annular	Macular dystrophy
macular dystrophy, atypical vitelliform	Macular dystrophy
macular dystrophy, butterfly-shaped pigmentary, 2	Macular dystrophy
macular dystrophy, x-linked	Macular dystrophy
adult-onset vitelliform macular dystrophy	Macular dystrophy
fundus dystrophy, pseudoinflammatory, of sorsby	Macular dystrophy
stromal macular dystrophy of cornea	Macular dystrophy
choroidal dystrophy, central areolar 2	Macular dystrophy
occult macular dystrophy	Macular dystrophy
macular pattern dystrophy	Macular dystrophy
macular dystrophy, retinal, 3	Macular dystrophy
Inborn genetic diseases	genetic diseases, inborn
genetic diseases, inborn	Inborn genetic diseases
Stargardt disease	stargardt\'s disease,,abca4 gene,,stargardt disease 3,,stargardt disease 1 (disorder),,stargardt disease 4,,atp binding cassette transporter, subfamily a, member 4,,prom1 gene,,elovl4 protein, human,,stgd3 protein, mouse,,ivd panels, human genetics, eye disorder, retinopathy, macular dystrophy, stargardt disease,,ivd panels, human genetics, eye disorder, retinopathy, macular dystrophy, stargardt disease, del/dup,,ivd panels, human genetics, eye disorder, retinopathy, macular dystrophy, stargardt disease, mutation,,multifocal pattern dystrophy of retinal pigment epithelium simulating fundus flavimaculatus,,stargardt disease 1 (stgd1) gene anomaly detection reagents
abca4 gene	Stargardt disease
stargardt disease 3	Stargardt disease
stargardt disease 4	Stargardt disease
atp binding cassette transporter, subfamily a, member 4	Stargardt disease
elovl4 protein, human	Stargardt disease
stgd3 protein, mouse	Stargardt disease
ivd panels, human genetics, eye disorder, retinopathy, macular dystrophy, stargardt disease	Stargardt disease
ivd panels, human genetics, eye disorder, retinopathy, macular dystrophy, stargardt disease, del/dup	Stargardt disease
ivd panels, human genetics, eye disorder, retinopathy, macular dystrophy, stargardt disease, mutation	Stargardt disease
multifocal pattern dystrophy of retinal pigment epithelium simulating fundus flavimaculatus	Stargardt disease
Cone-rod dystrophy 3	cone-rod dystrophy 3 (disorder),,cone-rod dystrophy, x-linked, 3,,cone-rod dystrophy 3 (cord3) gene anomaly detection reagents
cone-rod dystrophy, x-linked, 3	Cone-rod dystrophy 3
cone-rod dystrophy 3 (cord3) gene anomaly detection reagents	Cone-rod dystrophy 3
Age-related macular degeneration 2	macular degeneration, age-related, 2,,macular degeneration, age-related, 2, susceptibility to,,macular degeneration, age-related, 2, susceptibility to, arg943gln (allelic variant),,age-related macular degeneration 2 (armd2) gene anomaly detection reagents,,ophthalmology (age-related macular degeneration), analysis of 3 gene variants (2 cfh gene, 1 arms2 gene), using pcr and maldi-tof, buccal swab, reported as positive or negative for neovascular age-related macular-degeneration risk associated with zinc supplements,,gene analysis of 3 gene variants (2 cfh gene, 1 arms2 gene), using polymerase chain reaction (pcr) and matrix-assisted laser desorption ionization time of flight (maldi-tof) in buccal swab specimen, reported as positive or negative for neovascular age-related macular-degeneration risk associated with zinc supplements
macular degeneration, age-related, 2	Age-related macular degeneration 2
age-related macular degeneration 2 (armd2) gene anomaly detection reagents	Age-related macular degeneration 2
ophthalmology (age-related macular degeneration), analysis of 3 gene variants (2 cfh gene, 1 arms2 gene), using pcr and maldi-tof, buccal swab, reported as positive or negative for neovascular age-related macular-degeneration risk associated with zinc supplements	Age-related macular degeneration 2
gene analysis of 3 gene variants (2 cfh gene, 1 arms2 gene), using polymerase chain reaction (pcr) and matrix-assisted laser desorption ionization time of flight (maldi-tof) in buccal swab specimen, reported as positive or negative for neovascular age-related macular-degeneration risk associated with zinc supplements	Age-related macular degeneration 2
Myasthenic syndrome, congenital, 15	myasthenic syndrome, congenital, 15
myasthenic syndrome, congenital, 15	Myasthenic syndrome, congenital, 15
Dihydropyrimidine dehydrogenase deficiency	dihydropyrimidine dehydrogenase deficiency,,dihydropyrimidine dehydrogenase deficiency gene anomaly detection reagents
dihydropyrimidine dehydrogenase deficiency	Dihydropyrimidine dehydrogenase deficiency
dihydropyrimidine dehydrogenase deficiency gene anomaly detection reagents	Dihydropyrimidine dehydrogenase deficiency
Glycogen storage disease type III	glycogen storage disease type iii,,agl gene,,glycogen storage disease type iii gene anomaly detection reagents
glycogen storage disease type iii	Glycogen storage disease type III
agl gene	Glycogen storage disease type III
glycogen storage disease type iii gene anomaly detection reagents	Glycogen storage disease type III
Maple syrup urine disease	maple syrup urine disease,,bckdha gene,,bckdhb gene,,classic maple syrup urine disease,,intermittent maple syrup urine disease,,mild maple syrup urine disease,,msu disease food,,maple-syrup-urine disease; menkes,,intermediate maple syrup urine disease,,nadh cytochrome b5 reductase deficiency,,maple syrup urine disease, multiple dehydrogenase form,,maple syrup urine disease, hyperleucinemic form,,maple syrup urine disease, thiamine responsive,,maple syrup urine disease:imp:pt:bld.dot:nom,,maple syrup urine disease, type ia,,maple syrup urine disease, type ii,,maple syrup urine disease, classic, type ia,,maple syrup urine disease, type 1a,,maple syrup urine disease, type 1b,,lactic acidosis, congenital infantile, due to lad deficiency,,maple syrup urine disease, mild variant,,maple syrup urine disease, classic, type ii,,maple syrup urine disease, intermediate, type ii,,maple syrup urine disease, classic, type ib,,maple syrup urine disease, intermediate, type ia
maple syrup urine disease	Maple syrup urine disease
bckdha gene	Maple syrup urine disease
bckdhb gene	Maple syrup urine disease
classic maple syrup urine disease	Maple syrup urine disease
intermittent maple syrup urine disease	Maple syrup urine disease
mild maple syrup urine disease	Maple syrup urine disease
msu disease food	Maple syrup urine disease
maple-syrup-urine disease; menkes	Maple syrup urine disease
intermediate maple syrup urine disease	Maple syrup urine disease
maple syrup urine disease, multiple dehydrogenase form	Maple syrup urine disease
maple syrup urine disease, hyperleucinemic form	Maple syrup urine disease
maple syrup urine disease, thiamine responsive	Maple syrup urine disease
maple syrup urine disease:imp:pt:bld.dot:nom	Maple syrup urine disease
maple syrup urine disease, type ia	Maple syrup urine disease
maple syrup urine disease, type ii	Maple syrup urine disease
maple syrup urine disease, classic, type ia	Maple syrup urine disease
maple syrup urine disease, type 1a	Maple syrup urine disease
maple syrup urine disease, type 1b	Maple syrup urine disease
lactic acidosis, congenital infantile, due to lad deficiency	Maple syrup urine disease
maple syrup urine disease, mild variant	Maple syrup urine disease
maple syrup urine disease, classic, type ii	Maple syrup urine disease
maple syrup urine disease, intermediate, type ii	Maple syrup urine disease
maple syrup urine disease, classic, type ib	Maple syrup urine disease
maple syrup urine disease, intermediate, type ia	Maple syrup urine disease
Stickler syndrome type 2	stickler syndrome, type ii (disorder)
Fibrochondrogenesis 1	fibrochondrogenesis 1
fibrochondrogenesis 1	Fibrochondrogenesis 1
Marshall syndrome	marshall syndrome,,periodic fever, aphthous stomatitis, pharyngitis, adenitis syndrome,,weaver syndrome,,marshall-smith syndrome,,marshall/stickler syndrome,,marshall syndrome gene mutation detection reagents
marshall syndrome	Marshall syndrome
periodic fever, aphthous stomatitis, pharyngitis, adenitis syndrome	Marshall syndrome
weaver syndrome	Marshall syndrome
marshall-smith syndrome	Marshall syndrome
marshall syndrome gene mutation detection reagents	Marshall syndrome
Lumbar disc herniation, susceptibility to	lumbar disc herniation, susceptibility to
lumbar disc herniation, susceptibility to	Lumbar disc herniation, susceptibility to
Stickler Syndrome, Dominant	no results
Connective tissue disease	connective tissue diseases,,mixed connective tissue disease,,diffuse disease of connective tissue,,undifferentiated connective tissue diseases,,systemic involvement of connective tissue, unspecified,,other connective tissue disease,,connective and soft tissue disorder,,overlap connective tissue disease,,history of disorder of connective tissue,,polyneuropathy in collagen vascular disease,,lipoatrophic panniculitis,,localized connective tissue disorder, unspecified,,connective tissue disease sle variant,,poikiloderma due to connective tissue disease,,disease (or disorder); connective tissue, undifferentiated,,letterer-siwe disease of connective tissue,,maternal history of connective tissue disease,,other specified connective tissue disease,,cardiomyopathy due to connective tissue disease,,interstitial lung disease due to connective tissue disease,,disease (or disorder); connective tissue, cellular tissue,,other specified diffuse disease of connective tissue, nec,,connective tissue disease, mixed form, major,,connective tissue disease, mixed form, minor,,necrotizing vasculitis secondary to connective tissue disease
connective tissue diseases	Connective tissue disease
mixed connective tissue disease	Connective tissue disease
diffuse disease of connective tissue	Connective tissue disease
undifferentiated connective tissue diseases	Connective tissue disease
systemic involvement of connective tissue, unspecified	Connective tissue disease
other connective tissue disease	Connective tissue disease
connective and soft tissue disorder	Connective tissue disease
overlap connective tissue disease	Connective tissue disease
history of disorder of connective tissue	Connective tissue disease
polyneuropathy in collagen vascular disease	Connective tissue disease
lipoatrophic panniculitis	Connective tissue disease
localized connective tissue disorder, unspecified	Connective tissue disease
connective tissue disease sle variant	Connective tissue disease
poikiloderma due to connective tissue disease	Connective tissue disease
disease (or disorder); connective tissue, undifferentiated	Connective tissue disease
letterer-siwe disease of connective tissue	Connective tissue disease
maternal history of connective tissue disease	Connective tissue disease
other specified connective tissue disease	Connective tissue disease
cardiomyopathy due to connective tissue disease	Connective tissue disease
interstitial lung disease due to connective tissue disease	Connective tissue disease
disease (or disorder); connective tissue, cellular tissue	Connective tissue disease
other specified diffuse disease of connective tissue, nec	Connective tissue disease
connective tissue disease, mixed form, major	Connective tissue disease
connective tissue disease, mixed form, minor	Connective tissue disease
necrotizing vasculitis secondary to connective tissue disease	Connective tissue disease
Chudley-McCullough syndrome	chudley-mccullough syndrome
chudley-mccullough syndrome	Chudley-McCullough syndrome
Achromatopsia	achromatopsia,,achromatopsia 1,,cone monochromatism,,achromatopsia 4,,achromatopsia 3,,achromatopsia 2,,achromatopsia 5,,achromatopsia 6,,achromatopsia 7,,complete achromatopsia,,cngb3 gene,,farnsworth-mue tests: achromatopsia of right eye,,farnsworth-mue tests: achromatopsia of left eye,,farnsworth-mue tests: achromatopsia of both eyes,,congenital complete achromatopsia,,achromatopsia incomplete, x-linked,,achromatopsia, complete or incomplete
